"School Name","School Code","State","City","Activation Date","Fees: Retail and Corporate Level Users","Fees: Colleague Level Members"
"ABILENE CHRISTIAN UNIVERSITY","_003537","TX","ABILENE","04/05/2004","$6.50","$5.00"
"ABRAHAM BALDWIN AGRICULTURAL COLLEGE","_001541","GA","TIFTON","08/08/2002","$6.50","$5.00"
"ADAMS STATE COLLEGE","_001345","CO","ALAMOSA","07/24/2008","$6.50","$5.00"
"ADELBERT COLLEGE","_003024","OH","CLEVELAND","09/26/2007","$11.50","$10.00"
"ADELPHI UNIVERSITY","_002666","NY","GARDEN CITY","12/20/2000","$6.50","$5.00"
"ADIRONDACK COMMUNITY COLLEGE","_002860","NY","QUEENSBURY","12/04/2008","$6.50","$5.00"
"AGNES SCOTT COLLEGE","_001542","GA","DECATUR","11/30/2004","$6.50","$5.00"
"AIMS COLLEGE","_007582","CO","GREELEY","01/29/2004","$6.50","$5.00"
"AIMS COMMUNITY COLLEGE","_007582","CO","GREELEY","01/29/2004","$6.50","$5.00"
"ALABAMA A & M UNIVERSITY","_001002","AL","NORMAL","06/27/2008","$6.50","$5.00"
"ALABAMA AGRICULTURAL & MECHANICAL COLLEGE","_001002","AL","NORMAL","06/27/2008","$6.50","$5.00"
"ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","_001002","AL","NORMAL","06/27/2008","$6.50","$5.00"
"ALABAMA SCHOOL OF TRADES","_001017","AL","GADSDEN","07/22/2008","$6.50","$5.00"
"ALABAMA TECHNICAL COLLEGE","_001017","AL","GADSDEN","07/22/2008","$6.50","$5.00"
"ALAMANCE COMMUNITY COLLEGE","_005463","NC","GRAHAM","12/07/2005","$6.50","$5.00"
"ALBANY COLLEGE OF PHARMACY","_002885","NY","ALBANY","01/31/2007","$7.50","$6.00"
"ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES","_002885","NY","ALBANY","01/31/2007","$7.50","$6.00"
"ALBANY COLLEGE OF PHARMACY OF UNION UNIVERSITY","_002885","NY","ALBANY","01/31/2007","$7.50","$6.00"
"ALBANY JUNIOR COLLEGE","_001543","GA","ALBANY","04/07/2010","$6.50","$5.00"
"ALBANY STATE UNIVERSITY","_001544","GA","ALBANY","07/18/2003","$6.50","$5.00"
"ALBANY TECHNICAL COLLEGE","_005601","GA","ALBANY","06/18/2007","$6.50","$5.00"
"ALBION COLLEGE","_002235","MI","ALBION","03/03/2009","$6.50","$5.00"
"ALBUQUERQUE TECHNICAL VOCATIONAL INSTITUTE","_004742","NM","ALBUQUERQUE","11/20/2006","$6.50","$5.00"
"ALCORN STATE A&M COLLEGE","_002396","MS","ALCORN STATE","04/09/2004","$6.50","$5.00"
"ALCORN STATE UNIVERSITY","_002396","MS","ALCORN STATE","04/09/2004","$6.50","$5.00"
"ALEXANDRA TECHNICAL AND COMMUNITY COLLEGE","_005544","MN","ALEXANDRIA","01/23/2003","$6.50","$5.00"
